make,model_raw_regex,year_from,year_to,model_gen,generation
PORSCHE,^(718 )?CAYMAN,2017,2025,CAYMAN,982
PORSCHE,^(CAYENNE|MACAN|PANAMERA|TAYCAN|924|356|914|912|959|918),,,OTHER,
RENAULT,^CLIO.*WILLIAMS,,,CLIO WILLIAMS,MK1
RENAULT,^CLIO.*16 ?V,1991,1996,CLIO 16V,MK1
RENAULT,^CLIO.*16 ?V,1998,2005,CLIO 16V,MK2
RENAULT,^CLIO.*V6,,,CLIO V6,MK2
RENAULT,^CLIO.*(\bRS\b|R\.S\.|RENAULT ?SPORT|172|182|197|200|220),2000,2005,CLIO RS,MK2
RENAULT,^CLIO.*(\bRS\b|R\.S\.|RENAULT ?SPORT|172|182|197|200|220),2006,2012,CLIO RS,MK3
RENAULT,^CLIO.*(\bRS\b|R\.S\.|RENAULT ?SPORT|172|182|197|200|220),2013,2019,CLIO RS,MK4
RENAULT,^CLIO(?!.*(WILLIAMS|16 ?V|V6|\bRS\b|R\.S\.|RENAULT ?SPORT|172|182|197|200|220)),,,CLIO,
RENAULT,^MEGANE.*(\bRS\b|R\.S\.|RENAULT ?SPORT|225|230|250|265|275|300),2004,2009,MEGANE RS,MK2
RENAULT,^MEGANE.*(\bRS\b|R\.S\.|RENAULT ?SPORT|225|230|250|265|275|300),2010,2016,MEGANE RS,MK3
RENAULT,^MEGANE.*(\bRS\b|R\.S\.|RENAULT ?SPORT|225|230|250|265|275|300),2018,2023,MEGANE RS,MK4
RENAULT,^MEGANE(?!.*(\bRS\b|R\.S\.|RENAULT ?SPORT|225|230|250|265|275|300)),,,MEGANE,
RENAULT,^(SPORT )?SPIDER,,,SPIDER,SPIDER
RENAULT,^(R ?|SUPER ?)?5.*GT ?TURBO,,,5 GT TURBO,MK2
RENAULT,^(R ?|SUPER ?)?5\b(?!.*GT ?TURBO),,,5,
RENAULT,^(R ?)?19.*16 ?V,,,19 16V,MK1
RENAULT,^(R ?)?19\b(?!.*16 ?V),,,19,
RENAULT,^TWINGO.*(\bRS\b|R\.S\.|RENAULT ?SPORT|133),,,TWINGO RS,MK2
RENAULT,^TWINGO(?!.*(\bRS\b|R\.S\.|RENAULT ?SPORT|133)),,,TWINGO,
RENAULT,^AVANTIME,,,AVANTIME,MK1
RENAULT,^ALPINE.*A ?610|^A ?610,,,A610,A610
RENAULT,^(LAGUNA|SCENIC|ESPACE|KANGOO|MODUS|KADJAR|CAPTUR|ZOE|KOLEOS|TRAFIC|MASTER|VEL ?SATIS|SAFRANE|WIND|FLUENCE|TALISMAN|(R ?)?21|(R ?)?25|(R ?)?4\b|(R ?)?9\b|(R ?)?11|(R ?)?18|(R ?)?20|(R ?)?30|SYMBOL|THALIA|ARKANA|AUSTRAL|EXPRESS|EXTRA|RAPID|GRAND SCENIC|ALPINE(?!.*A ?610)|FUEGO|ALLIANCE),,,OTHER,
SAAB,^900.*(TURBO|T\b),1979,1993,900 TURBO,CLASSIC
SAAB,^900.*(TURBO|T\b),1994,1998,900 TURBO,NG
SAAB,^900(?!.*(TURBO|T\b)),,,900,
SAAB,^9-?3.*VIGGEN|^VIGGEN,,,9-3 VIGGEN,MK1
SAAB,^9-?3(?!.*VIGGEN),,,9-3,
SAAB,^(9-?5|9000|9-?2X|9-?7X|9-?4X|99|96)\b,,,OTHER,
SEAT,^IBIZA.*(CUPRA|GTI),1996,2002,IBIZA CUPRA,6K
SEAT,^IBIZA.*(CUPRA|GTI),2004,2008,IBIZA CUPRA,6L
SEAT,^IBIZA.*(CUPRA|GTI),2009,2016,IBIZA CUPRA,6J
SEAT,^IBIZA(?!.*(CUPRA|GTI)),,,IBIZA,
SEAT,^LEON.*CUPRA,1999,2005,LEON CUPRA,1M
SEAT,^LEON.*CUPRA,2006,2012,LEON CUPRA,1P
SEAT,^LEON.*CUPRA,2013,2020,LEON CUPRA,5F
SEAT,^LEON(?!.*CUPRA),,,LEON,
SEAT,^(ALTEA|ALHAMBRA|TOLEDO|AROSA|EXEO|ATECA|ARONA|MII|CORDOBA|MARBELLA|INCA|TARRACO|MALAGA|TERRA),,,OTHER,
SKODA,^OCTAVIA.*(VRS|\bRS\b),2001,2005,OCTAVIA VRS,1U
SKODA,^OCTAVIA.*(VRS|\bRS\b),2006,2013,OCTAVIA VRS,1Z
SKODA,^OCTAVIA.*(VRS|\bRS\b),2014,2020,OCTAVIA VRS,5E
SKODA,^OCTAVIA(?!.*(VRS|\bRS\b)),,,OCTAVIA,
SKODA,^(FABIA|SUPERB|YETI|ROOMSTER|CITIGO|RAPID|KODIAQ|KAROQ|KAMIQ|FELICIA|FAVORIT|SCALA|ENYAQ|ESTELLE|FORMAN),,,OTHER,
SMART,^ROADSTER,,,ROADSTER,452
SMART,^(FORTWO|FORFOUR|CITY-? ?COUPE|CROSSBLADE|CABRIO|EQ|#1|#3|SMART)\b,,,OTHER,
SUBARU,^IMPREZA.*(WRX|STI|TURBO|P1\b|22B|RB5),1992,2000,IMPREZA WRX,GC8
SUBARU,^IMPREZA.*(WRX|STI|TURBO|P1\b|22B|RB5),2001,2007,IMPREZA WRX,GD
SUBARU,^IMPREZA.*(WRX|STI|TURBO|P1\b|22B|RB5),2008,2013,IMPREZA WRX,GR
SUBARU,^WRX,2014,2021,IMPREZA WRX,VA
SUBARU,^IMPREZA(?!.*(WRX|STI|TURBO|P1\b|22B|RB5)),,,IMPREZA,
SUBARU,^BRZ,,,BRZ,ZC6
SUBARU,^(FORESTER|LEGACY|OUTBACK|XV|LEVORG|JUSTY|TRIBECA|SVX|VIVIO|LIBERO|CROSSTREK|SOLTERRA),,,OTHER,
SUZUKI,^CAPPUCCINO,,,CAPPUCCINO,EA11R
SUZUKI,^SWIFT.*SPORT,2005,2011,SWIFT SPORT,ZC31
SUZUKI,^SWIFT.*SPORT,2012,2017,SWIFT SPORT,ZC32
SUZUKI,^SWIFT.*SPORT,2018,2025,SWIFT SPORT,ZC33
SUZUKI,^SWIFT(?!.*SPORT),,,SWIFT,
SUZUKI,^(GRAND ?VITARA|VITARA|ALTO|JIMNY|IGNIS|SPLASH|SX4|WAGON|BALENO|LIANA|CELERIO|KIZASHI|SAMURAI|SJ ?[0-9]|S-?CROSS|X-?90|CARRY|SUPER ?CARRY|ACROSS|SWACE),,,OTHER,
TOYOTA,^SUPRA,1986,1992,SUPRA,A70
TOYOTA,^SUPRA,1993,2002,SUPRA,A80
TOYOTA,^SUPRA,2019,2025,SUPRA,A90
TOYOTA,^MR-? ?2,1984,1988,MR2,AW11
TOYOTA,^MR-? ?2,1989,1999,MR2,SW20
TOYOTA,^MR-? ?2,2000,2007,MR2,ZZW30
TOYOTA,^CELICA.*GT-? ?FOUR,,,CELICA GT-FOUR,ST185_ST205
TOYOTA,^CELICA(?!.*GT-? ?FOUR),1986,1993,CELICA,T180
TOYOTA,^CELICA(?!.*GT-? ?FOUR),1994,1998,CELICA,T200
TOYOTA,^CELICA(?!.*GT-? ?FOUR),1999,2006,CELICA,T230
TOYOTA,^GT ?86|^86\b|^GR ?86,,,GT86,ZN6
TOYOTA,^(YARIS|COROLLA|AVENSIS|AURIS|RAV ?4|PRIUS|AYGO|VERSO|LAND ?CRUISER|HILUX|CAMRY|CARINA|STARLET|PASEO|PICNIC|PREVIA|IQ\b|URBAN CRUISER|C-?HR|PROACE|HIACE|AVENSIS|GRANVIA|DYNA|CROWN|MIRAI|BZ4X|SIENNA|TERCEL|CRESSIDA|SPACE ?CRUISER|LITE ?ACE|TOWN ?ACE|GR ?YARIS),,,OTHER,
TVR,^CHIMAERA,,,CHIMAERA,CHIMAERA
TVR,^GRIFFITH,,,GRIFFITH,GRIFFITH
TVR,^CERBERA,,,CERBERA,CERBERA
TVR,^TUSCAN,,,TUSCAN,TUSCAN
TVR,^SAGARIS,,,SAGARIS,SAGARIS
TVR,^(TAMORA|T350|T ?350|TYPHON|V8 ?S|S[0-9]?\b|[34][0-9]0[A-Z]*\b|TASMIN|VIXEN|GRANTURA|3000|M ?SERIES),,,OTHER,
VOLKSWAGEN,^GOLF.*GTI,1976,1983,GOLF GTI,MK1
VOLKSWAGEN,^GOLF.*GTI,1984,1991,GOLF GTI,MK2
VOLKSWAGEN,^GOLF.*GTI,1992,1997,GOLF GTI,MK3
VOLKSWAGEN,^GOLF.*GTI,1998,2003,GOLF GTI,MK4
VOLKSWAGEN,^GOLF.*GTI,2004,2008,GOLF GTI,MK5
VOLKSWAGEN,^GOLF.*GTI,2009,2012,GOLF GTI,MK6
VOLKSWAGEN,^GOLF.*GTI,2013,2019,GOLF GTI,MK7
VOLKSWAGEN,^GOLF.*GTI,2020,2025,GOLF GTI,MK8
VOLKSWAGEN,^GOLF.*(R32|\bR\b(?!-? ?LINE)),2002,2004,GOLF R,MK4
VOLKSWAGEN,^GOLF.*(R32|\bR\b(?!-? ?LINE)),2005,2008,GOLF R,MK5
VOLKSWAGEN,^GOLF.*(R32|\bR\b(?!-? ?LINE)),2009,2012,GOLF R,MK6
VOLKSWAGEN,^GOLF.*(R32|\bR\b(?!-? ?LINE)),2013,2019,GOLF R,MK7
VOLKSWAGEN,^GOLF.*(R32|\bR\b(?!-? ?LINE)),2020,2025,GOLF R,MK8
VOLKSWAGEN,^GOLF(?!.*(GTI|R32|\bR\b(?!-? ?LINE))),,,GOLF,
VOLKSWAGEN,^CORRADO,,,CORRADO,53I
VOLKSWAGEN,^POLO.*GTI,1995,2001,POLO GTI,6N
VOLKSWAGEN,^POLO.*GTI,2005,2009,POLO GTI,9N
VOLKSWAGEN,^POLO.*GTI,2010,2014,POLO GTI,6R
VOLKSWAGEN,^POLO.*GTI,2015,2017,POLO GTI,6C
VOLKSWAGEN,^POLO.*GTI,2018,2025,POLO GTI,AW
VOLKSWAGEN,^POLO(?!.*GTI),,,POLO,
VOLKSWAGEN,^SCIROCCO,1974,1992,SCIROCCO,MK1_MK2
VOLKSWAGEN,^SCIROCCO,2008,2017,SCIROCCO,MK3
VOLKSWAGEN,^LUPO.*GTI,,,LUPO GTI,6X
VOLKSWAGEN,^LUPO(?!.*GTI),,,LUPO,
VOLKSWAGEN,^PHAETON,,,PHAETON,3D
VOLKSWAGEN,^(PASSAT|BORA|JETTA|VENTO|TOURAN|TIGUAN|TOUAREG|SHARAN|CADDY|TRANSPORTER|CARAVELLE|CALIFORNIA|FOX|UP\b|BEETLE|EOS|ARTEON|T-?ROC|T-?CROSS|CC\b|AMAROK|CRAFTER|MULTIVAN|ID\.?[0-9]|TAIGO|POLO ?[A-Z]|NEW BEETLE|LT\b|KOMBI|SANTANA|TARO|SCIROCCO),,,OTHER,
VOLVO,^850.*(T-?5 ?R|\bR\b),,,850 R,854
VOLVO,^850(?!.*(T-?5 ?R|\bR\b)),,,850,
VOLVO,^C70,1997,2005,C70,I
VOLVO,^C70,2006,2013,C70,II
VOLVO,^(S60|V70).*\bR\b(?!-? ?DESIGN),,,S60 R,P2
VOLVO,^S60(?!.*\bR\b),,,S60,
VOLVO,^V70(?!.*\bR\b),,,V70,
VOLVO,^480,,,480,480
VOLVO,^(S40|V40|V50|S70|S80|V60|V90|S90|XC ?40|XC ?60|XC ?70|XC ?90|240|340|360|440|460|740|760|940|960|C30|EX30|EX90|EC40|EX40),,,OTHER,
